Date,Open Price,High_Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-Apr-22,18150,18572.95,17772.9,18205.8,18130.18344,4590,1770,83217542,950,20.7,800.05,55.8
20-Apr-22,18100.1,18415,18017.15,18313.7,18295.55907,6069,1321,111035748,4677,77.06,397.85,213.6
19-Apr-22,18470.05,18718,17845.6,17943.15,18355.09332,2904,716,53303191,1619,55.75,872.4,-526.9
18-Apr-22,18294.5,18684.5,18294.5,18549.85,18511.2246,1496,586,27692792,557,37.23,390,255.35
13-Apr-22,18371.2,18549.3,18248.25,18343.9,18388.96783,1150,550,21147313,573,49.83,301.05,-27.3
12-Apr-22,18339,18497,18216.3,18430,18390.222,2000,537,36780444,1412,70.6,280.7,91
11-Apr-22,18499,18518.35,18225,18422.7,18385.86236,712,364,13090734,305,42.84,293.35,-76.3
08-Apr-22,18180,18500,18101,18431.1,18361.67753,1197,514,21978928,534,44.61,399,251.1
07-Apr-22,18198.6,18245.95,17986.75,18175.55,18131.79956,918,357,16644992,240,26.14,259.2,-23.05
06-Apr-22,17900,18255.35,17871.2,18207.6,18096.24354,813,397,14712246,341,41.94,384.15,307.6
05-Apr-22,17849,18050,17738.75,18014.5,17924.611,964,529,17279325,351,36.41,311.25,165.5
04-Apr-22,17645.6,17868,17461.1,17782.2,17707.13139,1370,558,24258770,698,50.95,406.9,136.6
01-Apr-22,17340,17607.65,17250,17544.95,17376.88278,1655,376,28758741,1150,69.49,357.65,204.95
31-Mar-22,17295.55,17427.7,17209.05,17376.8,17336.42532,1232,513,21358476,466,37.82,218.65,81.25
30-Mar-22,17050,17338.15,17050,17295.55,17184.15092,3028,1295,52033609,1762,58.19,288.15,245.55
29-Mar-22,16866,16998.25,16822.5,16922.85,16903.57086,3006,1199,50812134,1726,57.42,175.75,56.85
28-Mar-22,17170,17281.4,16791.4,16863.45,16895.28259,5347,2023,90339076,3513,65.7,490,-306.55
25-Mar-22,17375.05,17375.05,17075,17177.1,17199.18193,1638,743,28172260,969,59.16,300.05,-197.95
24-Mar-22,17399,17493.95,17255.5,17392.85,17382.91373,1275,632,22163215,625,49.02,238.45,-6.15
23-Mar-22,17498.3,17544,17304.5,17349.1,17418.17162,1177,530,20501188,560,47.58,239.5,-149.2
22-Mar-22,17815.3,17815.35,17260,17415.65,17397.52962,4035,1257,70199032,1627,40.32,555.35,-399.65
21-Mar-22,18495,18495,17804.9,17859.55,18027.35111,1481,539,26698507,541,36.53,690.1,-635.45
17-Mar-22,17804,18361.7,17804,18269.4,18058.0505,1208,624,21814125,368,30.46,557.7,465.4
16-Mar-22,17500,17865,17471,17804,17650.63248,2925,956,51628100,2172,74.26,394,304
15-Mar-22,17449,17550,17258.5,17475.65,17420.88923,1616,742,28152157,715,44.24,291.5,26.65
14-Mar-22,17448,17448,17154.1,17376.95,17275.46445,1111,489,19193041,428,38.52,293.9,-71.05
11-Mar-22,17664,17664,17235.15,17322.8,17461.27252,4352,809,75991458,1224,28.12,428.85,-341.2
10-Mar-22,17250,17686.7,17247.15,17633.95,17459.73605,2061,886,35984516,810,39.3,439.55,383.95
09-Mar-22,17349.95,17349.95,17070.1,17147.35,17153.31776,10870,1531,186456564,9360,86.11,279.85,-202.6
08-Mar-22,17225,17518,16975,17299.7,17232.73503,2638,1280,45459955,1036,39.27,543,74.7
07-Mar-22,17394,17408,17048.75,17342.5,17271.91927,8448,1979,145913174,6445,76.29,359.25,-51.5
04-Mar-22,17331.5,17550.75,17025,17389.6,17290.53027,1850,1149,31987481,817,44.16,525.75,58.1
03-Mar-22,17926.6,17926.6,17402.95,17450.8,17587.69426,1341,644,23585098,393,29.31,523.65,-475.8
02-Mar-22,17659.65,17878.2,17467.1,17840.1,17665.31166,1046,654,18477916,219,20.94,411.1,180.45
28-Feb-22,17680,17758.15,17329.15,17603.05,17455.93821,2298,853,40113746,,,429,-76.95
25-Feb-22,17727.75,17901.25,17584.7,17706.5,17724.90116,3015,1213,53440577,858,28.46,316.55,-21.25
24-Feb-22,17730,17952.65,17553.55,17727.75,17698.20686,4138,2318,73235180,1783,43.09,399.1,-2.25
23-Feb-22,18265.5,18265.5,17865,17949.45,18019.63283,1182,578,21299206,612,51.78,400.5,-316.05
22-Feb-22,17999,18140.5,17782.65,18091.3,17976.11786,840,433,15099939,287,34.17,357.85,92.3
21-Feb-22,17901.05,18162.85,17826.95,18090.45,17982.05324,1127,698,20265774,566,50.22,335.9,189.4
18-Feb-22,17582.2,18216,17582.2,18059,18026.50331,5732,1886,103327917,1903,33.2,633.8,476.8
17-Feb-22,18305.05,18572.95,17969.3,18084.55,18242.1844,12218,3111,222883009,1948,15.94,603.65,-220.5
16-Feb-22,18188,18398.15,18048.5,18244.35,18216.17486,875,565,15939153,349,39.89,349.65,56.35
15-Feb-22,17663.75,18315.65,17570.55,18181,18054.31721,2150,1136,38816782,782,36.37,745.1,517.25
14-Feb-22,17550.05,17805.35,17424.45,17663.75,17610.34912,2661,1601,46861139,1227,46.11,380.9,113.7
11-Feb-22,18058.6,18120,17630,17815.2,17747.16515,2313,1048,41049193,995,43.02,490,-243.4
10-Feb-22,18140,18200,18018.05,18098.3,18098.38194,576,343,10424668,240,41.67,181.95,-41.7
09-Feb-22,18134.85,18232.3,18034.95,18127,18109.09573,961,441,17402841,426,44.33,197.35,-7.85
08-Feb-22,18100.1,18134.95,17987.55,18082.35,18066.21913,1077,692,19457318,444,41.23,147.4,-17.75
07-Feb-22,18449.95,18449.95,17910.05,18091.85,18062.39534,2618,1033,47287351,1367,52.22,539.9,-358.1
04-Feb-22,18474,18474,18190.35,18329.9,18310.48922,1345,679,24627608,480,35.69,283.65,-144.1
03-Feb-22,18500,18544.25,18250,18312.3,18329.48194,1052,475,19282615,581,55.23,294.25,-187.7
02-Feb-22,18750,18817.8,18450,18493.95,18549.28123,1689,701,31329736,884,52.34,367.8,-256.05
01-Feb-22,18724.95,18770.6,18422.85,18662.95,18660.53322,1219,670,22747190,443,36.34,347.75,-62
31-Jan-22,18549.95,18629.3,18440,18527.65,18538.49937,799,485,14812261,337,42.18,189.3,-22.3
28-Jan-22,18410,18650,18330.6,18376.85,18495.45765,1287,768,23803654,607,47.16,319.4,-33.15
27-Jan-22,18420.15,18581.7,18224.1,18391.9,18386.35351,2710,1854,49827018,1058,39.04,357.6,-28.25
25-Jan-22,18718.95,18860.05,18319.25,18795.25,18562.81804,1242,850,23055020,422,33.98,540.8,76.3
24-Jan-22,19000,19037.05,18606.5,18710.15,18878.11219,2273,1009,42909949,1095,48.17,430.55,-289.85
21-Jan-22,18750,19040.5,18620,18958.55,18713.12864,9857,1166,184455309,8592,87.17,420.5,208.55
20-Jan-22,18931.6,19074.9,18618.4,18758.75,18834.90143,2171,1161,40890571,987,45.46,456.5,-172.85
19-Jan-22,19369,19425.6,18671,18903.3,18999.34791,1509,663,28670016,806,53.41,754.6,-465.7
18-Jan-22,19300,19430,19190.55,19370.75,19278.82213,759,417,14632626,346,45.59,239.45,70.75
17-Jan-22,19410,19524.7,19127.85,19328.8,19359.94723,1573,973,30453197,729,46.34,396.85,-81.2
14-Jan-22,19757.35,19757.35,19272.55,19409.55,19415.94118,1241,543,24095183,619,49.88,484.8,-347.8
13-Jan-22,19702,19742.4,19605.45,19677,19654.47634,634,339,12460938,240,37.85,136.95,-25
12-Jan-22,19777.5,19843.35,19655.4,19700.05,19748.96143,700,501,13824273,379,54.14,187.95,-77.45
11-Jan-22,19600,19822.55,19600,19776.3,19732.0625,592,459,11681381,263,44.43,222.55,176.3
10-Jan-22,19923.5,19925.35,19686.8,19707.05,19767.7396,1106,621,21863120,578,52.26,238.55,-216.45
07-Jan-22,19680,19953.2,19596.25,19923.5,19725.66006,1412,617,27852632,576,40.79,356.95,243.5
06-Jan-22,19843.95,19910.4,19547.55,19647.5,19680.12589,564,372,11099591,166,29.43,362.85,-196.45
05-Jan-22,19999,20025,19867.35,19925.1,19941.97892,664,387,13241474,230,34.64,157.65,-73.9
04-Jan-22,19699.95,19940,19644.85,19878.75,19817.43992,1057,528,20947034,508,48.06,295.15,178.8
03-Jan-22,19601.05,19800,19601.05,19671,19720.78695,1563,861,30823590,710,45.43,198.95,69.95
31-Dec-21,19400,19795,19361.6,19708.55,19640.54682,929,473,18246068,520,55.97,433.4,308.55
30-Dec-21,19405,19582,19323.75,19399.85,19460.3448,1308,709,25454131,717,54.82,258.25,-5.15
29-Dec-21,19398.95,19450,19265.5,19404.05,19390.32525,2847,693,55204256,2207,77.52,184.5,5.1
28-Dec-21,19331.6,19466.95,19253.05,19353.1,19374.70377,1060,693,20537186,505,47.64,213.9,21.5
27-Dec-21,19200,19385.35,19106.95,19305.75,19252.08209,536,315,10319116,186,34.7,278.4,105.75
24-Dec-21,19214,19425,19170.75,19218.1,19295.66224,1054,400,20337628,603,57.21,254.25,4.1
23-Dec-21,19237.85,19296.05,19158.35,19207,19207.45386,661,335,12696127,351,53.1,137.7,-30.85
22-Dec-21,19155,19332.4,19019.75,19184.35,19143.64238,1482,899,28370878,456,30.77,312.65,29.35
21-Dec-21,19080,19271.45,18902.6,19227.7,19115.14864,1359,889,25977487,499,36.72,368.85,147.7
20-Dec-21,19074.95,19254,18606.3,18893.7,18859.04276,1988,982,37491777,958,48.19,647.7,-181.25
17-Dec-21,19080,19226,19001,19055.55,19109.92815,1531,925,29257300,659,43.04,225,-24.45
16-Dec-21,19151.35,19329.05,19129.5,19268.7,19218.84624,943,436,18123372,580,61.51,199.55,117.35
15-Dec-21,19198,19300,19048.1,19151.35,19158.59299,1027,567,19675875,173,16.85,251.9,-46.65
14-Dec-21,18926,19314.15,18925,19197.9,19154.9925,1599,928,30628833,752,47.03,389.15,271.9
13-Dec-21,19260,19348.3,18925.6,19001.75,19070.07782,2673,1347,50974318,1161,43.43,422.7,-258.25
10-Dec-21,19298.95,19312.45,19039,19273.45,19197.23475,2918,883,56017531,1951,66.86,273.45,-25.5
